[08/17/23 21:50:32] Log: Log file open, 08/17/23 21:50:32
[08/17/23 21:50:32] Map: ctf_compound
[08/17/23 21:50:32] GameMode: ModMPGame.TAGCTFGame
[08/17/23 21:50:32] Team: team_list 0 :  (0,Raider_Fan) (1,BeTiToo) (0,RaV) (5,-=TAG=-Helios™) (6,Twrch)
[08/17/23 21:50:32] Team: team_list 1 :  (2,dog) (4,Skate) (7,slicer) (8,RaiderX)
[08/17/23 21:50:32] StartGame: Match is live
[08/17/23 21:57:22] Kill: 0 4 spine3 12.00
[08/17/23 21:57:33] Kill: 0 7 Head 13.00
[08/17/23 21:57:34] Kill: 4 5 Head 11.00
[08/17/23 21:57:51] Kill: 8 5 elbow_L 9.00
[08/17/23 21:57:54] Kill: 0 8 elbow_L 17.00
[08/17/23 21:57:57] Kill: 0 4 Head 18.00
[08/17/23 21:57:59] Kill: 2 6 spine3 24.00
[08/17/23 21:58:02] Kill: 0 7 elbow_R 19.00
[08/17/23 21:58:05] Kill: 2 5 spine3 25.00
[08/17/23 21:58:07] Kill: 0 8 elbow_R 20.00
[08/17/23 21:58:16] Kill: 0 4 spine2 14.00
[08/17/23 21:58:19] Kill: 2 5 elbow_R 26.00
[08/17/23 21:58:21] Kill: 0 8 Head 15.00
[08/17/23 21:58:27] Kill: 0 7 Head 21.00
[08/17/23 21:58:30] Kill: 4 0 pelvis 12.00
[08/17/23 21:58:45] Kill: 5 7 None 13.00
[08/17/23 21:58:45] Kill: 5 5 Head 12.00
[08/17/23 21:58:51] Kill: 0 8 Head 16.00
[08/17/23 21:58:53] Kill: 4 0 elbow_R 13.00
[08/17/23 21:59:00] Kill: 2 0 pelvis 27.00
[08/17/23 21:59:03] Kill: 4 6 Head 14.00
[08/17/23 21:59:15] Kill: 0 6 None 15.00
[08/17/23 21:59:16] Kill: 0 7 None 22.00
[08/17/23 21:59:18] Kill: 4 0 spine3 15.00
[08/17/23 21:59:35] Kill: 0 4 None 16.00
[08/17/23 21:59:36] Kill: 8 5 spine3 10.00
[08/17/23 21:59:36] Kill: 2 0 shoulder_R 28.00
[08/17/23 21:59:40] Kill: 8 0 elbow_L 11.00
[08/17/23 21:59:43] Kill: 6 2 None 8.00
[08/17/23 21:59:44] Flag: flag_ret_friendly_2 4
[08/17/23 21:59:50] Kill: 6 4 elbow_R 9.00
[08/17/23 21:59:50] Kill: 0 8 None 23.00
[08/17/23 21:59:59] Kill: 0 2 Head 24.00
[08/17/23 22:00:02] Kill: 0 4 spine3 25.00
[08/17/23 22:00:05] Kill: 0 8 spine3 17.00
[08/17/23 22:00:15] Kill: 5 4 elbow_L 13.00
[08/17/23 22:00:18] Kill: 8 6 None 12.00
[08/17/23 22:00:18] Kill: 0 2 elbow_L 26.00
[08/17/23 22:00:20] Kill: 0 7 spine3 18.00
[08/17/23 22:00:27] Kill: 0 8 Head 19.00
[08/17/23 22:00:30] Kill: 0 4 Head 20.00
[08/17/23 22:00:34] Kill: 0 2 Head 21.00
[08/17/23 22:00:36] Flag: flag_ret_friendly_2 0
[08/17/23 22:00:36] Kill: 7 0 shoulder_L 7.00
[08/17/23 22:00:36] Kill: 0 7 spine3 27.00
[08/17/23 22:00:44] Kill: 0 8 knee_L 28.00
[08/17/23 22:00:45] Flag: flag_cap_final_5 5
[08/17/23 22:00:45] Flag: flag_captured 0 2.00
[08/17/23 22:00:47] Kill: 4 5 None 18.00
[08/17/23 22:00:51] Kill: 7 6 spine3 8.00
[08/17/23 22:00:52] Kill: 0 4 Head 24.00
[08/17/23 22:00:57] Kill: 2 0 None 29.00
[08/17/23 22:00:59] Kill: 0 7 spine3 25.00
[08/17/23 22:01:07] Kill: 0 2 None 26.00
[08/17/23 22:01:10] Kill: 8 5 spine3 13.00
[08/17/23 22:01:14] Kill: 8 0 Head 14.00
[08/17/23 22:01:14] Kill: 7 6 elbow_L 9.00
[08/17/23 22:01:17] Kill: 0 8 Head 27.00
[08/17/23 22:01:23] Leave: 1
[08/17/23 22:01:26] Kill: 0 7 elbow_R 29.00
[08/17/23 22:01:27] Kill: 4 5 elbow_L 19.00
[08/17/23 22:01:32] Kill: 0 8 shoulder_L 28.00
[08/17/23 22:01:34] Kill: 6 4 elbow_L 10.00
[08/17/23 22:01:35] Kill: 2 6 elbow_L 30.00
[08/17/23 22:01:35] Kill: 0 2 None 30.00
[08/17/23 22:01:48] Kill: 0 4 elbow_L 29.00
[08/17/23 22:01:58] Kill: 6 8 shoulder_R 11.00
[08/17/23 22:01:59] Kill: 0 7 Head 30.00
[08/17/23 22:02:07] Kill: 0 2 elbow_L 31.00
[08/17/23 22:02:09] Kill: 4 5 hip_R 20.00
[08/17/23 22:02:16] Kill: 4 0 knee_L 21.00
[08/17/23 22:02:19] Kill: 6 8 shoulder_L 12.00
[08/17/23 22:02:21] Flag: flag_ret_friendly_2 7
[08/17/23 22:02:21] Kill: 6 7 hip_L 13.00
[08/17/23 22:02:23] Kill: 4 6 elbow_R 22.00
[08/17/23 22:02:27] Kill: 5 4 shoulder_L 19.00
[08/17/23 22:02:38] Kill: 6 0 elbow_R 12.00
[08/17/23 22:02:40] Kill: 6 2 elbow_L 13.00
[08/17/23 22:02:40] Kill: 0 7 elbow_L 31.00
[08/17/23 22:02:41] Flag: flag_ret_friendly_2 6
[08/17/23 22:02:44] Kill: 8 6 hip_L 15.00
[08/17/23 22:02:47] Kill: 8 0 shoulder_R 16.00
[08/17/23 22:02:48] Kill: 8 5 shoulder_R 17.00
[08/17/23 22:02:51] Flag: flag_ret_friendly_2 4
[08/17/23 22:02:53] Kill: 0 8 spine2 32.00
[08/17/23 22:02:59] Kill: 6 2 spine3 16.00
[08/17/23 22:03:02] Kill: 0 4 spine2 33.00
[08/17/23 22:03:10] Kill: 6 2 pelvis 17.00
[08/17/23 22:03:14] Kill: 6 7 None 18.00
[08/17/23 22:03:18] Kill: 5 8 elbow_R 20.00
[08/17/23 22:03:20] Kill: 6 4 elbow_R 19.00
[08/17/23 22:03:23] Kill: 2 5 spine3 31.00
[08/17/23 22:03:24] Kill: 6 2 pelvis 20.00
[08/17/23 22:03:26] Kill: 0 7 spine3 32.00
[08/17/23 22:03:31] Kill: 8 6 None 18.00
[08/17/23 22:03:35] Kill: 0 8 pelvis 33.00
[08/17/23 22:03:40] Flag: flag_cap_final_5 0
[08/17/23 22:03:40] Flag: flag_captured 0 3.00
[08/17/23 22:03:40] EndGame: teamscorelimit
[08/17/23 22:03:54] EndGame: mapchange
[08/17/23 22:03:58] Leave: 0
[08/17/23 22:03:58] Leave: 6
[08/17/23 22:03:58] Leave: 2
[08/17/23 22:03:58] Leave: 8
[08/17/23 22:03:58] Leave: 0
[08/17/23 22:03:58] Leave: 4
[08/17/23 22:03:58] Leave: 5
[08/17/23 22:03:58] Leave: 7
